name,url,date,wins,cluster
Dave Williams,http://boxrec.com/boxer/154826,1981-11-21,20,1
Terry Marsh,http://boxrec.com/boxer/31401,1981-11-23,3,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1981-11-25,11,2
Chul Kwon,http://boxrec.com/boxer/170370,1981-12-06,10,2
Terry Marsh,http://boxrec.com/boxer/31401,1981-12-08,4,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1981-12-11,13,2
Jimmy Connelly,http://boxrec.com/boxer/63403,1981-12-26,12,2
Chul Kwon,http://boxrec.com/boxer/170370,1982-01-16,11,2
Ji-Won Kim,http://boxrec.com/boxer/44627,1982-01-24,1,0
Chul Kwon,http://boxrec.com/boxer/170370,1982-02-14,12,2
Terry Marsh,http://boxrec.com/boxer/31401,1982-02-19,5,0
Gaetano Ardito,http://boxrec.com/boxer/89096,1982-02-26,14,2
Romain Mianzula,http://boxrec.com/boxer/92826,1982-02-26,3,0
Ji-Won Kim,http://boxrec.com/boxer/44627,1982-02-28,2,0
Jimmy Connelly,http://boxrec.com/boxer/63403,1982-03-03,13,2
Terry Marsh,http://boxrec.com/boxer/31401,1982-03-09,6,0
